,UEI,Start Date,End Date,Duration(Days),Main Cause,Districts,State,Extent of damage ,Event Source
1783,UEI-IMD-FL-1991-0063,16/07/1991 00:00,17/07/1991 00:00,2,heavy rains,Mumbai,Maharastra,i)Hutmen's dweller worst affected ii)Entire eastern portion of a five storeyed vacant building in Kohinoor mill compound collapsed iii)14 trains on Western railway cancelled,IMD
1784,UEI-IMD-FL-1991-0064,18/07/1991 00:00,30/07/1991 00:00,13,flash flood,"Amravati,Nagpur",Maharastra,"i)Nowad village of 1,500 population in Narkhed tehsil washed away ii)2,000 houses razed to ground iii)Property worth Rs. 250 crore damaged iv)19 villages completely destroyed v)10,969 houses either partially or completely damaged vi)10,000 people rendered homeless vii)40,000 hectares of crop Tand washed away viii)Communication system completely suspended",IMD
1785,UEI-IMD-FL-1991-0065,22/07/1991 00:00,22/07/1991 00:00,1,heavy rains,Thane,Maharastra,"Railway,vehicular traffic disrupted",IMD
1786,UEI-IMD-FL-1991-0066,27/07/1991 00:00,27/07/1991 00:00,1,heavy rains,Mumbai,Maharastra,"i)7,000 people given a temporary accommodation at municipal primary school,1,200 slum dwellers shifted to safer places ii)Suburbanan,long distance train services on western,central railway disrupted",IMD
1787,UEI-IMD-FL-1991-0067,29/07/1991 00:00,30/07/1991 00:00,2,heavy rains,Bhandara,Maharastra,,IMD
1788,UEI-IMD-FL-1991-0068,03/08/1991 00:00,03/08/1991 00:00,1,heavy rains,Amravati,Maharastra,One primary school collapsed,IMD
1789,UEI-IMD-FL-1991-0069,12/08/1991 00:00,16/08/1991 00:00,5,severe flood,"Amravati, Chandrapur, Gadchiroli, Nagpur,Yavatmal",Maharastra,"i)Chandrapur,Gadchizholi districts worst affected ii)Vehicular traffic on NAgpur-Yavatmal route disrupted iii)Large number of long distance heavy vehicles stranded on national highway Nos 6,7 iv)State transport buses cancelled between Nagpur-Chandrapur,Nagpur-Gadchizholi v)People living on the downstream evacuated to safer places",IMD
1790,UEI-IMD-FL-1991-0070,17/08/1991 00:00,17/08/1991 00:00,1,heavy rains,Nagpur,Maharastra,,IMD
1791,UEI-IMD-FL-1991-0071,04/05/1991 00:00,09/05/1991 00:00,6,heavy rains,"Imphal West, Imphal East",Manipur,Several low lying areas inundated,IMD
1792,UEI-IMD-FL-1991-0072,03/11/1991 00:00,03/11/1991 00:00,1,heavy rains,"Kamjong, Senapati, Tamenglong, Imphal West, Kakching, Bishnupur, Chandel, Churachandpur, Imphal East, Jiribam, Kangpokpi, Thoubal, Tengnoupal, Ukhrul, Noney, Pherzawl",Manipur,Manipur cut off from the rest of the country as the vehicular traffic on National highway No. 39 suspended due to landslide,IMD
1793,UEI-IMD-FL-1991-0073,11/05/1991 00:00,11/05/1991 00:00,1,heavy rains,East Garo Hills,Meghalaya,"i)Large number of dwelling collapsed ii)Extensive damage to crop,other plantations reported iii)Loss estimated to worth Rs. 50 lakhs",IMD
1794,UEI-IMD-FL-1991-0074,11/07/1991 00:00,11/07/1991 00:00,1,heavy rains,West Garo Hills,Meghalaya,i)Thousands of people rendered homeless ii)Standing crop worth Rs. 2.3 crore damaged,IMD
1795,UEI-IMD-FL-1991-0075,19/07/1991 00:00,19/07/1991 00:00,1,severe flood,West Garo Hills,Meghalaya,1 lakh people rendered homeless,IMD
1796,UEI-IMD-FL-1991-0076,30/04/1991 00:00,01/05/1991 00:00,2,heavy rains,"Kolasib, Aizawl, Mamit, Champhai, Serchhip, Lunglei, Saiha, Lawngtlai",Mizoram,i)VHF tower of Lunglei district collapsed ii)One Govt. hospital at Saiha collapsed while Govt. hospital at Lunglei partially dmaged iii)Vehicular traffic suspended at various places due to land slides iv)Telecommunication system completely disrupted,IMD
1797,UEI-IMD-FL-1991-0077,08/05/1991 00:00,08/05/1991 00:00,1,severe flood,"Kolasib, Aizawl, Mamit, Champhai, Serchhip, Lunglei, Saiha, Lawngtlai",Mizoram,"i)1,000 people rendered homeless ii)Mizoram cut off from rest of the country",IMD
1798,UEI-IMD-FL-1991-0078,28/04/1991 00:00,30/04/1991 00:00,3,heavy rains,Cuttack,Odisha,"Saline water inundated in vast areas damaging jute, rabi,vegetable crops",IMD
1799,UEI-IMD-FL-1991-0079,18/07/1991 00:00,18/07/1991 00:00,1,heavy rains,,Odisha,"i)Road communication disrupted in Ghumsur,Phulbani ii)A culvert on river Jarav near Surada washed away",IMD
1800,UEI-IMD-FL-1991-0080,29/07/1991 00:00,29/07/1991 00:00,1,"severe, heavy rains","Baleshwar, Cuttack",Odisha,"i)172 villages,vast area of paddy land submerged ii)80 houses either partially or fully damaged",IMD
1801,UEI-IMD-FL-1991-0081,30/07/1991 00:00,31/07/1991 00:00,2,severe floods,"Baleshwar, Cuttack, Ganjam, Kalahandi, Koraput,Sambalpur",Odisha,"i)In Kalahandi district, vast areas of paddy land submerged ii)In Cuttack district, 1,535 villages under 9 blocks affected while in Puri district 70 villages marooned iii)In Baleshwar district, about 50 villages under Aska police station either fully or partially destroyed iv)40,000 acres of paddy land submerged v)Rural roads extensively damaged. Bhubaneshwar-Bhavanipatna national highway No. 6 cut off at Naria. vi)Railway line at Kabisuryanapara submerged vii)In Koraput district, 15,000 people affected,a road bridge collapsed viii)In Kalahandi district, road communication badly hit due to 4 major breached on important road linking te district to the other past of the state",IMD
1802,UEI-IMD-FL-1991-0082,01/08/1991 00:00,01/08/1991 00:00,1,heavy rains,Sambalpur,Odisha,"60 houses in low lying areas submerged,large number of families affected",IMD
1803,UEI-IMD-FL-1991-0083,13/08/1991 00:00,13/08/1991 00:00,1,severe flood,"Ganjam, Kendujhar",Odisha,"i)About 3 lakh people affected ii)Hundreds of houses either collapsed or partially damaged iii)Vast areas of crop land submerged iv)Large number of minor irriagation,lift irrigation projects,a building of irrigation department damged , i)Vegetable,other crop extensively damaged ii)Vast area of crop land sandcast iii)Several minor irrigation,lift irrigation projects damaged",IMD
1804,UEI-IMD-FL-1991-0084,16/08/1991 00:00,16/08/1991 00:00,1,severe flood,"Cuttack, Puri",Odisha,"i)Several lakhs of people in 41 blocks affected ii)1,16,000 hectares of paddy,12,473 hectares of mom-paddy land submerged iii)3 lakh hectares of agriculture land with standing crop extensively dmaged iv)29,000 houses collapsed , i)About 5 lakh people affected ii)Road communication disrupted at several places",IMD
1805,UEI-IMD-FL-1991-0085,17/08/1991 00:00,17/08/1991 00:00,1,severe flood,Baleshwar,Odisha,"i)2 lakh people affected ii)Several hectares of standing paddy,other vegetable crop submerged",IMD
1806,UEI-IMD-FL-1991-0086,27/08/1991 00:00,27/08/1991 00:00,1,severe floods,Kandhamal,Odisha,i)Thousands of people affected ii)Standing paddy crop damaged iii)Hundreds of life irrigartion projects damaged iv)Road communication disrupted at several places due to breaches,IMD
1807,UEI-IMD-FL-1991-0087,04/08/1991 00:00,04/08/1991 00:00,1,heavy rains,Patiala,Punjab,,IMD
1808,UEI-IMD-FL-1991-0088,26/07/1991 00:00,28/07/1991 00:00,3,heavy rains,"Kota,Udaipur",Rajasthan,100 houses either completely or partiallly damaged,IMD
1809,UEI-IMD-FL-1991-0089,31/07/1991 00:00,31/07/1991 00:00,1,heavy rains,Banswara,Rajasthan,,IMD
1810,UEI-IMD-FL-1991-0090,27/08/1991 00:00,28/08/1991 00:00,2,heavy rains,Jaipur,Rajasthan,i)Normak life completely paralysed ii)25 kachcha houses damaged iii)Vehicular traffic suspended,IMD
1811,UEI-IMD-FL-1991-0091,01/09/1991 00:00,01/09/1991 00:00,1,heavy rains,Alwar,Rajasthan,,IMD
1812,UEI-IMD-FL-1991-0092,16/09/1991 00:00,16/09/1991 00:00,1,heavy rains,"North  District, West District, South District, East District",Sikkim,i)Entire state cut of from rest of the country ii)Shortage of essential commodities reported due to disrupted communication,IMD
1813,UEI-IMD-FL-1991-0093,20/10/1991 00:00,30/10/1991 00:00,11,heavy rains,"Thiruvallur, Chennai, Krishnagiri, Tiruvannamalai, Dharmapuri, Salem, Erode, The Nilgiris, Namakkal, Perambalur, Coimbatore, Tiruchirappalli, Ariyalur, Tiruppur, Thanjavur, Karur, Thiruvarur, Dindigul, Madurai, Theni, Virudhunagar, Thoothukkudi, Kanniyakumari, Viluppuram, Cuddalore, Pudukkottai, Sivaganga, Ramanathapuram, Nagapattinam, Kallakurichi, Tenkasi, Tirunelvelii, Vellore, Ranipet, Tirupathur, Kancheepuram, Chengalpattu",Tamil Nadu,Extensive damage to crops due to breached of irrigation tanks reported,IMD
1814,UEI-IMD-FL-1991-0094,29/04/1991 00:00,30/04/1991 00:00,2,heavy rains,"North Tripura, Dhalai, Sipahijala, Gomati, Khowai, West Tripura, South Tripura, Unokoti",Tripura,"i)7,000 houses razed to ground, rendering several people homeless ii)Atleast 500 school buildings damaged iii)Property worth Rs. 50 crore damaged iv)Stnading boror, paddy,vegetables in thousands of hectares of land destroyed v)Railway communication between Badrapur adn Lumding section destroyed due to landslides vi)Road communication between Silchar,Jowai-Bhadrapur on national highway disrupted",IMD
1815,UEI-IMD-FL-1991-0095,08/05/1991 00:00,09/05/1991 00:00,2,heavy rains,"North Tripura, Dhalai, Sipahijala, Gomati, Khowai, West Tripura, South Tripura, Unokoti",Tripura,i)Thousands of families rendered homeless ii)Tripura remain cut off from rest of the country,IMD
1816,UEI-IMD-FL-1991-0096,07/08/1991 00:00,07/08/1991 00:00,1,severe flood,Faizabad,Uttar Pradesh,"i)4,870 people in 114 villages affeected ii)22,201 hectares of land area,13,229 hectares of crop land submerged iii)2 houses damaged",IMD
1817,UEI-IMD-FL-1991-0097,08/08/1991 00:00,08/08/1991 00:00,1,severe flood,Gonda,Uttar Pradesh,"i)99,098 people in 55 villages affected ii)33,674 hectares of land area,27,394 hectares of crop land submerged",IMD
1818,UEI-IMD-FL-1991-0098,13/08/1991 00:00,13/08/1991 00:00,1,severe flood,Sitapur,Uttar Pradesh,"i)12,000 people in 17 villages affected ii)2,620 hectares of land area submerged iii)54 houses completely,one-partially damaged",IMD
1819,UEI-IMD-FL-1991-0099,14/08/1991 00:00,14/08/1991 00:00,1,severe flood,Azamgarh,Uttar Pradesh,"i)2,83,019 people in 383 villages affected ii)35,619 hectares of land area,30,230 hectares of crop land submerged iii)84 houses completely,139 partially damaged",IMD
1820,UEI-IMD-FL-1991-0100,15/08/1991 00:00,16/08/1991 00:00,2,heavy rains,Chamoli,Uttarakhand,"i)6 villages affected ii)40 hectares of agricultural land submerged iii)96 houses completely,146 partially collapsed",IMD
1821,UEI-IMD-FL-1991-0101,16/08/1991 00:00,17/08/1991 00:00,2,heavy rains,Almora,Uttarakhand,"i)6,709 people in 29 villages affected ii)31 hectares of land area,38 hectares of crop land submerged iii)34 houses completely,115 partially damaged",IMD
1822,UEI-IMD-FL-1991-0102,18/08/1991 00:00,18/08/1991 00:00,1,heavy rains,Tehri Garhwal,Uttarakhand,3 houses completely damaged,IMD
1823,UEI-IMD-FL-1991-0103,20/08/1991 00:00,20/08/1991 00:00,1,severe flood,"Bahraich, Varanasi",Uttar Pradesh,"i)12 villages affected ii)119 houses completely,145 partially damaged , i)3,12,589 people in 325 villages affected ii)18,034 hectares of land area,10,360 hectares of crop land submerged iii)92 houses completely,899 partially damaged",IMD
1824,UEI-IMD-FL-1991-0104,25/08/1991 00:00,25/08/1991 00:00,1,severe flood,Lalitpur,Uttar Pradesh,"i)3,703 people in 9 villages affected ii)3,044 hectares of land area,707 hectares of crop land submerged",IMD
1825,UEI-IMD-FL-1991-0105,25/08/1991 00:00,31/08/1991 00:00,7,heavy rains,Meerut,Uttar Pradesh,i)Low lying areas submerged ii)70 houses sufferend severe damage,IMD
1826,UEI-IMD-FL-1991-0106,25/10/1991 00:00,26/10/1991 00:00,2,heavy rains,Hamirpur,Himachal Pradesh,"i)52,300 people in 31 villages affected ii)3,430 hectares of land area,2,746 hectares of cropped area submerged iii)31 houses completely,22 partially damaged",IMD
1827,UEI-IMD-FL-1991-0107,26/08/1991 00:00,26/08/1991 00:00,1,heavy rains,"Aligarh, Bulandshahr",Uttar Pradesh,"786 houses completely,4,177 partially damaged , 14,988 houses completely,46,185 partially damaged",IMD
1828,UEI-IMD-FL-1991-0108,28/08/1991 00:00,28/08/1991 00:00,1,"severe flood, heavy rains","Etawah, Ghaziabad",Uttar Pradesh,"i)10 villages affected ii)28,207 hectares of land areaand 1,620 hectares of agricultural land submerged",IMD
1829,UEI-IMD-FL-1991-0109,29/08/1991 00:00,29/08/1991 00:00,1,severe flood,"Meerut, Mirzapur",Uttar Pradesh,"i)4,436 people in 16 villages affected ii)6,665 hectares of land area,5,567 hectares of agriculture land submerged iii)1,035 houses partially damaged , i)2,98,862 people in 361 villages affected ii)22,366 hectares of crop area submerged",IMD
1830,UEI-IMD-FL-1991-0110,30/08/1991 00:00,30/08/1991 00:00,1,"heavy rains, severe flood","Bijnor, Ghazipur",Uttar Pradesh,"i)80,265 people in 322 villages affected ii)9,015 hectares of land area,2,864 hectares of cropped area submerged iii)6 houses partially damaged",IMD
1831,UEI-IMD-FL-1991-0111,31/08/1991 00:00,31/08/1991 00:00,1,severe flood,Ballia,Uttar Pradesh,"i)2,99,157 people in 368 villages affected ii)32,703 hectares of land area,13,378 hectares of cropped area submerged iii)108 houses completely,42 partially damaged",IMD
1832,UEI-IMD-FL-1991-0112,02/09/1991 00:00,02/09/1991 00:00,1,severe flood,Banda,Uttar Pradesh,"i)31,629 people in 168 villages affected ii)10,829 hectares of land area,5,866 hectares of cropped area submerged",IMD
1833,UEI-IMD-FL-1991-0113,04/09/1991 00:00,04/09/1991 00:00,1,severe flood,Kheri,Uttar Pradesh,"i)2,61,000 people in 151 villages affected ii)68,371 hectares of land area submerged",IMD
1834,UEI-IMD-FL-1991-0114,05/09/1991 00:00,05/09/1991 00:00,1,"severe flood, heavy rains","Deoria, Mathura",Uttar Pradesh,"i)34,316 people in 23 villages affected ii)4,621 hectares of land area,3,527 hectares of crop area submerged iii)9 houses partially damaged , i)1,99,600 people in 153 villages affected ii)1,44,747 hectares of land area,24,235 hectares of cropped area submerged iii)200 houses completely,8,000 partially damaged",IMD
1835,UEI-IMD-FL-1991-0115,07/09/1991 00:00,07/09/1991 00:00,1,heavy rains,Jaunpur,Uttar Pradesh,"i)29,559 people in 106 villages affected ii)5,652 hectares of land area,2,542 hectares of cropped area submerged iii)3 houses partially damaged",IMD
1836,UEI-IMD-FL-1991-0116,11/09/1991 00:00,11/09/1991 00:00,1,severe flood,Bara Banki,Uttar Pradesh,"i)33,233 people in 47 villages affected ii)15,234 hectares of land area,6,742 hectares of cropped area submerged iii)118 houses completely damaged",IMD
1837,UEI-IMD-FL-1991-0117,14/09/1991 00:00,14/09/1991 00:00,1,severe flood,Shahjahanpur,Uttar Pradesh,"i)40,308 people in 34 villages affected ii)3,864 hectares of land area submerged",IMD
1838,UEI-IMD-FL-1991-0118,16/09/1991 00:00,16/09/1991 00:00,1,severe flood,Gorakhpur,Uttar Pradesh,"i)680 people in 4 villages affected ii)392 hectares of land area,241 hectares of cropped area submerged",IMD
1839,UEI-IMD-FL-1991-0119,29/04/1991 00:00,29/04/1991 00:00,1,heavy rains,"South Twenty Four Pargan,North Twenty Four Pargan*",West Bengal,"i)225 houses collapsed in Sagar, Namkhana,Pathar Pratima blocks ii)100 betel field damaged iii)Large scale damage of electric poles/ lines reported disrupting electric supply in North Twenty Four Pargan*",IMD
1840,UEI-IMD-FL-1991-0120,05/06/1991 00:00,05/06/1991 00:00,1,heavy rains,Darjiling,West Bengal,i)Several houses destroyed ii)Road communication completely disrupted,IMD
1841,UEI-IMD-FL-1991-0121,05/06/1991 00:00,06/06/1991 00:00,1,heavy rains,Kolkata,West Bengal,"i)Low lying areas flooded ii)A portion of a building, housing 'Elgin Road Post Office' , collapsed iii)Tram services disrupted",IMD
1842,UEI-IMD-FL-1991-0122,07/06/1991 00:00,07/06/1991 00:00,1,heavy rains,Medinipur,West Bengal,,IMD
1843,UEI-IMD-FL-1991-0123,07/07/1991 00:00,07/07/1991 00:00,1,heavy rains,Maldahh,West Bengal,i)Low lying areas flooded ii)City telegraph/telephone exchange unserviceable due to water logging in the cable chamber,IMD
1844,UEI-IMD-FL-1991-0124,06/09/1991 00:00,14/09/1991 00:00,9,severe flood,"Cooch Behar, Darjiling, Hugli, Jalpaiguri, Maldahh, Murshidabad, Nadia,Dakshin Dinajpur",West Bengal,"i)Maldahh district worst affected ii)100 villages marooned in Maldahh district iii)36.2 lakh people affected iv)35,000 houses damaged v)Entire Belurghat town in Dakshin Dinajpur district submerged under 5 feet of water vi)20 km. stretch of state highway between Belurghat,Gangarampur submerged under flood water",IMD
1845,UEI-IMD-FL-1991-0125,08/09/1991 00:00,08/09/1991 00:00,1,heavy rains,Kolkata,West Bengal,i)Low lying areas flooded ii)Vehicular traffic completely disrupted,IMD
1846,UEI-IMD-FL-1991-0126,25/08/1991 00:00,26/08/1991 00:00,2,heavy rains,Delhi,Delhi,i)Normal life completely paralysed ii)Electric/Telephone services completely disrupted,IMD
1847,UEI-IMD-FL-1992-0001,15/08/1992 00:00,20/08/1992 00:00,6,severe,"East Godavari,Khammam",Andhra Pradesh,13 villages inundated,IMD
1848,UEI-IMD-FL-1992-0002,16/11/1992 00:00,19/11/1992 00:00,4,heavy rains,"East Godavari, Guntur, Krishna, Kurnool, Mahabubnagar,  Sri Potti Sriramulu Nell*, Prakasam, Srikakulam, Visakhapatnam, Vizianagaram,West Godavari",Andhra Pradesh,"i)11,52,229 villages affected ii)27,000 houses damaged iii)Land area of 2,29,925 hectares submerged under water iv)55,000 tonnes of rice worth Rs. 30 crore lost in East Godavari district",IMD
1849,UEI-IMD-FL-1992-0003,27/06/1992 00:00,27/06/1992 00:00,1,flash flood,Lower Subansiri,Arunachal Pradesh,"i)Ranganadi hydel project badly damaged ii)Construction material worth Rs. 15 crore for 405 mega watts hydel project dmaged iii)Machinarylike dumpers,trucks washed away",IMD
1850,UEI-IMD-FL-1992-0004,28/09/1992 00:00,28/09/1992 00:00,1,heavy rains,"East East Kameng, West Kameng, Tawang,West East Kameng, West Kameng",Arunachal Pradesh,"i)Road link snapped when a bridge between Bhalukpong,Bomdila dmaged ii)District headquarters of West East Kameng, West Kameng, Tawang,East East Kameng, West Kameng cut off from rest of the state",IMD
1851,UEI-IMD-FL-1992-0005,29/03/1992 00:00,30/03/1992 00:00,2,severe,Tinsukia,Assam,"i)1.25 lakh people affected ii)20,000 to 40,000 hectares hectares of land area flooded iii)100 metre stretch of Sumoniband bridge washed away iv)National highway No.52 submerged disrupting direct road link, between Assam,Arunachal Pradesh",IMD
1852,UEI-IMD-FL-1992-0006,04/04/1992 00:00,05/04/1992 00:00,2,severe,Tinsukia,Assam,i)1.25 lakh people in 120 villages affected ii)Many houses washe daway iii)Extensive damage to standing crop reported,IMD
1853,UEI-IMD-FL-1992-0007,07/06/1992 00:00,07/06/1992 00:00,1,heavy rains,Nalbari,Assam,Singara cattle market under Barama circle washed away,IMD
1854,UEI-IMD-FL-1992-0008,22/06/1992 00:00,30/06/1992 00:00,9,severe,"Barpeta, Dhemaji, Dhubri, Goalpara, Jorhat, Kamrup, Lakhimpur, Mancachar, Nagaon, Nalbari, Sivasagar, Sonitpur,Tinsukia",Assam,"i)1,152 villages of population 5,52,551 people affected ii)1,21,081 hectares of land area submerged under flood water iii)In Nalbari district 59 houses,,in Dhemaji 6  houses washed away iv)Cropped land 29,581 hectares submerged v)Road communication in Lakhimpur district completely disrupted vi)A portion of Goalpara-Matia P.W.D. road washed away disrupting road communication in Goalpara district vii)Road communication on National highway No. 37,52 suspended. Surface communication on Sivasagar-Simulguri road also suspended viii)In Dhemaji, Joni town cut off as national highway submerged at several places",IMD
1855,UEI-IMD-FL-1992-0009,05/08/1992 00:00,05/08/1992 00:00,1,severe,Golaghat,Assam,i)Bomeri village of Mahuramouza under Bokhat revenue circle completely submerged ii)32 families rendered homeless,IMD
1856,UEI-IMD-FL-1992-0010,09/08/1992 00:00,09/08/1992 00:00,1,severe,Dhemaji,Assam,i)20 villages washed away ii)Vast area of cropped land submerged iii)National highway submerged disrupting road communication,IMD
1857,UEI-IMD-FL-1992-0011,02/09/1992 00:00,02/09/1992 00:00,1,severe,"Barpeta,Bongaigaon",Assam,"Large number of villages in Bijni subdivision,Brnagar circle affected",IMD
1858,UEI-IMD-FL-1992-0012,27/09/1992 00:00,27/09/1992 00:00,1,heavy rains,Barpeta,Assam,"Jalah Mini stadium,important portion of Jalahghat town affected",IMD
1859,UEI-IMD-FL-1992-0013,15/10/1992 00:00,19/10/1992 00:00,5,severe,"Cachar, Sivasagar,Tinsukia",Assam,"i)95 villages with population 35,296 affected ii)Land area of 45,000 hectares inundated iii)In Sivasagar district, standing crop 74 hectares of land damaged iv)Natinal highway No.37,52 submerged disrupting vehicular traffic v)River Noa-Dihing breached its embankement at Sumoni",IMD
1860,UEI-IMD-FL-1992-0014,03/09/1992 00:00,03/09/1992 00:00,1,severe,Sitamarhi,Bihar,15 houses in Belwa village washed away,IMD
1861,UEI-IMD-FL-1992-0015,15/06/1992 00:00,15/06/1992 00:00,1,heavy rains,"North Goa, South Goa",Goa,"i)Normal life completely paralysed ii)150 houses collapsed iii)A portion of the approach road of the new Mandovi bridgein the final stage of completion washed away iv)Telecommunication system,electric supply disrupted v)The loss of public,private property estimated to worth Rs. 29 lakh",IMD
1862,UEI-IMD-FL-1992-0016,19/06/1992 00:00,26/06/1992 00:00,8,severe,"Ahmadabad, Bhavnagar, Surat,Valsad",Gujarat,"i)10,000 people marooned ii)5 houses in Ahmendabad damaged iii)Telecommunication services,power supply disrupted",IMD
1863,UEI-IMD-FL-1992-0017,21/07/1992 00:00,01/08/1992 00:00,12,heavy rains,"Banas Kantha, Bharuch, Junagadh,Kachchh,Rajkot",Gujarat,"i)In Kachchh district 100 people marooned, 100 huts,houses either completely destroyed or badly damaged ii)Hundreds of acres of fertile land flooded iii)Gujarat electricity board colony at Panandhro completely submerged under rainwater iv)Road communication between Narayan Sarovar,Panandhro submerged under 4 ft of water",IMD
1864,UEI-IMD-FL-1992-0018,17/07/1992 00:00,17/07/1992 00:00,1,heavy rains,Shimla,Himachal Pradesh,,IMD
1865,UEI-IMD-FL-1992-0019,17/08/1992 00:00,17/08/1992 00:00,1,heavy rains,"Lahul & Spiti, Chamba, Kangra, Kullu, Mandi, Kinnaur, Una, Shimla, Solan, Sirmaur, Hamirpur, Bilaspur",Himachal Pradesh,"i)Normal life completely paralysed ii)Vehicular traffic,telecommunication services disrupted",IMD
1866,UEI-IMD-FL-1992-0020,20/08/1992 00:00,20/08/1992 00:00,1,heavy rains,"Lahul & Spiti, Chamba, Kangra, Kullu, Mandi, Kinnaur, Una, Shimla, Solan, Sirmaur, Hamirpur, Bilaspur",Himachal Pradesh,"i)320km. long Hindustan-Tibet road blocked beyond Tapri due to landslide ii)Vayudoot flights on Delhi-Shimla,Shimla-Kalka route suspended",IMD
1867,UEI-IMD-FL-1992-0021,31/08/1992 00:00,31/08/1992 00:00,1,heavy rains,Hamirpur,Himachal Pradesh,"i)Extensive damage to property,crop reported in Bijhari block ii)Two houses completely,one partially damaged",IMD
1868,UEI-IMD-FL-1992-0022,08/09/1992 00:00,13/09/1992 00:00,6,severe,"Kupwara, Bandipore, Baramula, Ganderbal, Anantnag, Kishtwar, Srinagar, Badgam, Pulwama, Punch, Shupiyan, Kulgam, Rajouri, Ramban, Reasi, Doda, Jammu, Kathua, Udhampur, Samba, Muzaffarabad, Mirpur",Jammu and Kashmir,"i)More than 6 lakh people marooned. Entire Ladakh region cut off from rest of the country as road Zojila washed away,8 bridges on Srinagar-Kargil road extensively damaged ii)Property worth Rs. 164 crores damaged iii)36,000 houses either totally or partially damaged iv)Damaged of standing crop estimated to worth Rs 45 crores v)230 bridge,culverts washed away vi)Salal hydel project power house flooded vii)Historic Kohinoor bridge washed away viii)Two third of 500 ft span of Akhnoor bridge connecting Jammu with Srinagar damaged",IMD
1869,UEI-IMD-FL-1992-0023,07/10/1992 00:00,07/10/1992 00:00,1,heavy rains,Bengaluru Rural,Karnataka,500 houses submerged under rain water,IMD
1870,UEI-IMD-FL-1992-0024,16/11/1992 00:00,18/11/1992 00:00,3,heavy rains,"Bidar, Kalaburagi, Belagavi, Yadgir, Bagalkote, Raichur, Koppal, Gadag, Ballari, Dharwad, Uttara Kannada, Haveri, Chitradurga, Davanagere, Shivamogga, Udupi, Chikkamagaluru, Chikkaballapura, Hassan, Kolar, Bengaluru Rural Rural, Dakshina Kannada, Bangalore, Kodagu, Chamarajanagara, Tumakuru, Ramanagara, Mandya, Mysuru, Vijayapura",Karnataka,i)Thousands of houses damaged ii)Thousands of livestock lost iii)Lakhs of hectares of crop land submerged iv)Extensive damage to crop reported v)The loss estimated to worth Rs 155 crores,IMD
1871,UEI-IMD-FL-1992-0025,18/05/1992 00:00,19/05/1992 00:00,2,heavy rains,"Alappuzha,Ernakulam",Kerala,i)Several houses damaged ii)100 coconut trees uprooted,IMD
1872,UEI-IMD-FL-1992-0026,08/06/1992 00:00,09/06/1992 00:00,2,heavy rains,"Kasaragod, Wayanad, Kozhikode, Malappuram, Palakkad, Thrissur, Idukki, Ernakulam, Alappuzha, Kottayam, Pathanamthitta, Kollam, Thiruvananthapuram, Kannur",Kerala,"i)Low lying areas flooded ii)Extensive damage property,agriculture reported iii)Railway services disrupted due to flooding of railway tracks",IMD
1873,UEI-IMD-FL-1992-0027,02/07/1992 00:00,02/07/1992 00:00,1,heavy rains,"Kasaragod, Wayanad, Kozhikode, Malappuram, Palakkad, Thrissur, Idukki, Ernakulam, Alappuzha, Kottayam, Pathanamthitta, Kollam, Thiruvananthapuram, Kannur",Kerala,Loss estimated to worth Rs. 56 lakh,IMD
1874,UEI-IMD-FL-1992-0028,16/07/1992 00:00,16/07/1992 00:00,1,heavy rains,"Alappuzha,Kollam",Kerala,12 fishing boats capsized,IMD
1875,UEI-IMD-FL-1992-0029,27/07/1992 00:00,28/07/1992 00:00,2,heavy rains,Ernakulam,Kerala,600 families evacuated to safer places,IMD
1876,UEI-IMD-FL-1992-0030,28/07/1992 00:00,28/07/1992 00:00,1,heavy rains,Thiruvananthapuram,Kerala,200 houses collapsed,IMD
1877,UEI-IMD-FL-1992-0031,31/07/1992 00:00,31/07/1992 00:00,1,heavy rains,Kollam,Kerala,150 houses collapsed,IMD
1878,UEI-IMD-FL-1992-0032,02/08/1992 00:00,02/08/1992 00:00,1,heavy rains,Kollam,Kerala,400 houses damaged at Anchuthengui,IMD
1879,UEI-IMD-FL-1992-0033,08/08/1992 00:00,08/08/1992 00:00,1,heavy rains,"Kollam,Kozhikode",Kerala,,IMD
1880,UEI-IMD-FL-1992-0034,10/10/1992 00:00,11/10/1992 00:00,2,heavy rains,"Alappuzha, Kollam, Pathanamthitta,Thiruvananthapuram",Kerala,"i)5,000 houses collapsed ii)Railway line submerged disrupting railway services",IMD
1881,UEI-IMD-FL-1992-0035,12/09/1992 00:00,13/09/1992 00:00,2,heavy rains,"Chhatarpur,Panna",Madhya Pradesh,i)Several Kachchhcha houses collapsed ii)Road communication disrupted due to damage of road,IMD
1882,UEI-IMD-FL-1992-0036,20/09/1992 00:00,20/09/1992 00:00,1,heavy rains,Chhatarpur ,Madhya Pradesh,Extensive damaged to standing crop reported,IMD
1883,UEI-IMD-FL-1992-0037,20/06/1992 00:00,23/06/1992 00:00,4,flash flood,Yavatmal,Maharastra,"i)Flood water entered into the villages situated on the Umarkhed road ii)200 houses,trees swept away iii)Extensive damaged to property reported ",IMD
1884,UEI-IMD-FL-1992-0038,18/07/1992 00:00,19/07/1992 00:00,2,heavy rains,Mumbai,Maharastra,"i)Low lying areas flooded ii)Suburbanan train services both on western,central railway disrupted",IMD
